,emoji,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
20,😔,anger-2010-01,anger-2010-02,sadness-2010-03,sadness-2010-04,sadness-2010-05,fear-2010-06,anger-2010-07,disgust-2010-08,anger-2010-09,sadness-2010-10,trust-2010-11,trust-2010-12,trust-2011-01,anger-2011-02,anger-2011-03,anger-2011-04,trust-2011-05,trust-2011-06,sadness-2011-07,trust-2011-08,fear-2011-09,fear-2011-10,trust-2011-11,anger-2011-12,anger-2012-01,anger-2012-02,anger-2012-03,fear-2012-04,anger-2012-05,anger-2012-06,anger-2012-07,trust-2012-08,anger-2012-09,anger-2012-10,anger-2012-11,anger-2012-12,anger-2013-01,anger-2013-02,anger-2013-03,trust-2013-04,anger-2013-05,trust-2013-06,anger-2013-07,sadness-2013-08,trust-2013-09,trust-2013-10,anger-2013-11,trust-2013-12,sadness-2014-01,anger-2014-02,sadness-2014-03,sadness-2014-04,sadness-2014-05,sadness-2014-06,sadness-2014-07,sadness-2014-08,sadness-2014-09,sadness-2014-10,sadness-2014-11,sadness-2014-12,sadness-2015-01,anticipation-2015-02,sadness-2015-03,anger-2015-04,sadness-2015-05,anticipation-2015-06,sadness-2015-07,sadness-2015-08,sadness-2015-09,sadness-2015-10,sadness-2015-11,sadness-2015-12,sadness-2016-01,sadness-2016-02,sadness-2016-03,anticipation-2016-04,sadness-2016-05,sadness-2016-06,sadness-2016-07,sadness-2016-08,sadness-2016-09,sadness-2016-10,sadness-2016-11,sadness-2016-12,sadness-2017-01,sadness-2017-02,sadness-2017-03,sadness-2017-04,sadness-2017-05,sadness-2017-06,sadness-2017-07,sadness-2017-08,sadness-2017-09,sadness-2017-10,sadness-2017-11,sadness-2017-12,sadness-2018-01,sadness-2018-02,sadness-2018-03,sadness-2018-04,sadness-2018-05,sadness-2018-06,sadness-2018-07,sadness-2018-08,sadness-2018-09,sadness-2018-10,sadness-2018-11,sadness-2018-12,sadness-2019-01,sadness-2019-02,sadness-2019-03,sadness-2019-04,sadness-2019-05,sadness-2019-06,sadness-2019-07,sadness-2019-08,sadness-2019-09,sadness-2019-10,sadness-2019-11,sadness-2019-12,sadness-2020-01,sadness-2020-02,sadness-2020-03,sadness-2020-04,sadness-2020-05,sadness-2020-06,sadness-2020-07,sadness-2020-08,sadness-2020-09,sadness-2020-10,sadness-2020-11,sadness-2020-12,sadness-2021-01,sadness-2021-02,sadness-2021-03,sadness-2021-04,sadness-2021-05,sadness-2021-06,sadness-2021-07,sadness-2021-08,sadness-2021-09,sadness-2021-10,sadness-2021-11,sadness-2021-12
21,😪,surprise-2010-01,sadness-2010-02,sadness-2010-03,surprise-2010-04,sadness-2010-05,joy-2010-06,surprise-2010-07,surprise-2010-08,surprise-2010-09,surprise-2010-10,surprise-2010-11,surprise-2010-12,surprise-2011-01,surprise-2011-02,surprise-2011-03,joy-2011-04,surprise-2011-05,surprise-2011-06,surprise-2011-07,joy-2011-08,surprise-2011-09,surprise-2011-10,surprise-2011-11,surprise-2011-12,joy-2012-01,surprise-2012-02,joy-2012-03,joy-2012-04,surprise-2012-05,surprise-2012-06,joy-2012-07,surprise-2012-08,surprise-2012-09,surprise-2012-10,joy-2012-11,surprise-2012-12,surprise-2013-01,joy-2013-02,joy-2013-03,joy-2013-04,joy-2013-05,surprise-2013-06,trust-2013-07,trust-2013-08,trust-2013-09,joy-2013-10,trust-2013-11,joy-2013-12,trust-2014-01,trust-2014-02,trust-2014-03,trust-2014-04,trust-2014-05,trust-2014-06,anticipation-2014-07,trust-2014-08,trust-2014-09,trust-2014-10,trust-2014-11,anticipation-2014-12,anticipation-2015-01,trust-2015-02,anticipation-2015-03,anticipation-2015-04,anticipation-2015-05,anticipation-2015-06,sadness-2015-07,joy-2015-08,trust-2015-09,anticipation-2015-10,sadness-2015-11,sadness-2015-12,anticipation-2016-01,anticipation-2016-02,anticipation-2016-03,sadness-2016-04,anticipation-2016-05,sadness-2016-06,anticipation-2016-07,sadness-2016-08,sadness-2016-09,anticipation-2016-10,anticipation-2016-11,anticipation-2016-12,anticipation-2017-01,anticipation-2017-02,sadness-2017-03,sadness-2017-04,sadness-2017-05,sadness-2017-06,sadness-2017-07,anticipation-2017-08,anticipation-2017-09,sadness-2017-10,anticipation-2017-11,sadness-2017-12,surprise-2018-01,sadness-2018-02,sadness-2018-03,sadness-2018-04,sadness-2018-05,anticipation-2018-06,sadness-2018-07,sadness-2018-08,anticipation-2018-09,sadness-2018-10,sadness-2018-11,sadness-2018-12,sadness-2019-01,sadness-2019-02,sadness-2019-03,sadness-2019-04,sadness-2019-05,sadness-2019-06,sadness-2019-07,sadness-2019-08,sadness-2019-09,sadness-2019-10,anticipation-2019-11,sadness-2019-12,sadness-2020-01,sadness-2020-02,sadness-2020-03,sadness-2020-04,sadness-2020-05,sadness-2020-06,sadness-2020-07,sadness-2020-08,sadness-2020-09,sadness-2020-10,sadness-2020-11,sadness-2020-12,sadness-2021-01,sadness-2021-02,sadness-2021-03,sadness-2021-04,sadness-2021-05,sadness-2021-06,sadness-2021-07,sadness-2021-08,sadness-2021-09,sadness-2021-10,sadness-2021-11,sadness-2021-12
22,😷,joy-2010-01,surprise-2010-02,joy-2010-03,trust-2010-04,joy-2010-05,joy-2010-06,joy-2010-07,trust-2010-08,joy-2010-09,surprise-2010-10,sadness-2010-11,trust-2010-12,joy-2011-01,joy-2011-02,joy-2011-03,sadness-2011-04,surprise-2011-05,surprise-2011-06,joy-2011-07,joy-2011-08,trust-2011-09,surprise-2011-10,surprise-2011-11,joy-2011-12,trust-2012-01,surprise-2012-02,surprise-2012-03,joy-2012-04,joy-2012-05,sadness-2012-06,sadness-2012-07,surprise-2012-08,joy-2012-09,anticipation-2012-10,joy-2012-11,sadness-2012-12,sadness-2013-01,sadness-2013-02,sadness-2013-03,surprise-2013-04,sadness-2013-05,sadness-2013-06,anticipation-2013-07,surprise-2013-08,joy-2013-09,sadness-2013-10,sadness-2013-11,sadness-2013-12,sadness-2014-01,sadness-2014-02,sadness-2014-03,anticipation-2014-04,anticipation-2014-05,trust-2014-06,trust-2014-07,anticipation-2014-08,sadness-2014-09,sadness-2014-10,trust-2014-11,anticipation-2014-12,anticipation-2015-01,sadness-2015-02,sadness-2015-03,sadness-2015-04,sadness-2015-05,sadness-2015-06,sadness-2015-07,sadness-2015-08,joy-2015-09,sadness-2015-10,sadness-2015-11,anticipation-2015-12,sadness-2016-01,sadness-2016-02,sadness-2016-03,sadness-2016-04,sadness-2016-05,anger-2016-06,sadness-2016-07,anticipation-2016-08,sadness-2016-09,disgust-2016-10,sadness-2016-11,anger-2016-12,disgust-2017-01,disgust-2017-02,disgust-2017-03,fear-2017-04,fear-2017-05,disgust-2017-06,disgust-2017-07,fear-2017-08,fear-2017-09,disgust-2017-10,disgust-2017-11,fear-2017-12,fear-2018-01,disgust-2018-02,disgust-2018-03,disgust-2018-04,disgust-2018-05,fear-2018-06,disgust-2018-07,disgust-2018-08,disgust-2018-09,disgust-2018-10,fear-2018-11,fear-2018-12,fear-2019-01,fear-2019-02,fear-2019-03,disgust-2019-04,disgust-2019-05,disgust-2019-06,disgust-2019-07,fear-2019-08,fear-2019-09,fear-2019-10,disgust-2019-11,fear-2019-12,fear-2020-01,fear-2020-02,fear-2020-03,fear-2020-04,anticipation-2020-05,fear-2020-06,fear-2020-07,fear-2020-08,fear-2020-09,surprise-2020-10,fear-2020-11,fear-2020-12,surprise-2021-01,fear-2021-02,fear-2021-03,surprise-2021-04,fear-2021-05,fear-2021-06,fear-2021-07,disgust-2021-08,fear-2021-09,fear-2021-10,fear-2021-11,fear-2021-12
23,😵,surprise-2010-01,surprise-2010-02,anger-2010-03,anger-2010-04,trust-2010-05,anticipation-2010-06,trust-2010-07,anticipation-2010-08,surprise-2010-09,sadness-2010-10,trust-2010-11,anger-2010-12,sadness-2011-01,trust-2011-02,trust-2011-03,fear-2011-04,surprise-2011-05,trust-2011-06,trust-2011-07,fear-2011-08,fear-2011-09,sadness-2011-10,anger-2011-11,anger-2011-12,joy-2012-01,fear-2012-02,anticipation-2012-03,surprise-2012-04,anger-2012-05,fear-2012-06,fear-2012-07,sadness-2012-08,anger-2012-09,surprise-2012-10,fear-2012-11,surprise-2012-12,anger-2013-01,anger-2013-02,sadness-2013-03,surprise-2013-04,surprise-2013-05,fear-2013-06,surprise-2013-07,surprise-2013-08,surprise-2013-09,anger-2013-10,anger-2013-11,anger-2013-12,fear-2014-01,trust-2014-02,sadness-2014-03,trust-2014-04,trust-2014-05,sadness-2014-06,trust-2014-07,anger-2014-08,anger-2014-09,trust-2014-10,fear-2014-11,anger-2014-12,anger-2015-01,fear-2015-02,fear-2015-03,anger-2015-04,anger-2015-05,anger-2015-06,fear-2015-07,anger-2015-08,fear-2015-09,anger-2015-10,anger-2015-11,fear-2015-12,anger-2016-01,sadness-2016-02,fear-2016-03,fear-2016-04,anticipation-2016-05,surprise-2016-06,fear-2016-07,fear-2016-08,fear-2016-09,fear-2016-10,fear-2016-11,fear-2016-12,fear-2017-01,fear-2017-02,fear-2017-03,fear-2017-04,fear-2017-05,fear-2017-06,fear-2017-07,fear-2017-08,fear-2017-09,fear-2017-10,fear-2017-11,fear-2017-12,fear-2018-01,fear-2018-02,fear-2018-03,fear-2018-04,fear-2018-05,surprise-2018-06,fear-2018-07,fear-2018-08,fear-2018-09,fear-2018-10,surprise-2018-11,fear-2018-12,fear-2019-01,fear-2019-02,fear-2019-03,fear-2019-04,fear-2019-05,fear-2019-06,fear-2019-07,fear-2019-08,fear-2019-09,fear-2019-10,fear-2019-11,surprise-2019-12,fear-2020-01,fear-2020-02,fear-2020-03,fear-2020-04,fear-2020-05,surprise-2020-06,surprise-2020-07,fear-2020-08,fear-2020-09,fear-2020-10,fear-2020-11,fear-2020-12,surprise-2021-01,surprise-2021-02,surprise-2021-03,fear-2021-04,surprise-2021-05,fear-2021-06,fear-2021-07,fear-2021-08,fear-2021-09,fear-2021-10,fear-2021-11,fear-2021-12
24,😎,sadness-2010-01,anticipation-2010-02,surprise-2010-03,joy-2010-04,joy-2010-05,joy-2010-06,disgust-2010-07,sadness-2010-08,fear-2010-09,surprise-2010-10,sadness-2010-11,anger-2010-12,anticipation-2011-01,joy-2011-02,surprise-2011-03,surprise-2011-04,anticipation-2011-05,fear-2011-06,joy-2011-07,joy-2011-08,joy-2011-09,joy-2011-10,trust-2011-11,anger-2011-12,disgust-2012-01,anticipation-2012-02,joy-2012-03,joy-2012-04,trust-2012-05,trust-2012-06,surprise-2012-07,trust-2012-08,trust-2012-09,anger-2012-10,trust-2012-11,trust-2012-12,trust-2013-01,trust-2013-02,trust-2013-03,trust-2013-04,trust-2013-05,trust-2013-06,trust-2013-07,trust-2013-08,trust-2013-09,trust-2013-10,trust-2013-11,anticipation-2013-12,trust-2014-01,joy-2014-02,joy-2014-03,joy-2014-04,joy-2014-05,anticipation-2014-06,joy-2014-07,joy-2014-08,anticipation-2014-09,joy-2014-10,anticipation-2014-11,joy-2014-12,joy-2015-01,joy-2015-02,anticipation-2015-03,joy-2015-04,joy-2015-05,joy-2015-06,joy-2015-07,joy-2015-08,joy-2015-09,joy-2015-10,joy-2015-11,joy-2015-12,joy-2016-01,anticipation-2016-02,joy-2016-03,joy-2016-04,joy-2016-05,joy-2016-06,joy-2016-07,joy-2016-08,joy-2016-09,joy-2016-10,joy-2016-11,joy-2016-12,joy-2017-01,anticipation-2017-02,joy-2017-03,joy-2017-04,joy-2017-05,joy-2017-06,joy-2017-07,joy-2017-08,anticipation-2017-09,anticipation-2017-10,joy-2017-11,anticipation-2017-12,anticipation-2018-01,joy-2018-02,joy-2018-03,anticipation-2018-04,joy-2018-05,joy-2018-06,joy-2018-07,joy-2018-08,joy-2018-09,joy-2018-10,joy-2018-11,joy-2018-12,joy-2019-01,joy-2019-02,joy-2019-03,joy-2019-04,joy-2019-05,joy-2019-06,joy-2019-07,joy-2019-08,joy-2019-09,joy-2019-10,joy-2019-11,joy-2019-12,joy-2020-01,joy-2020-02,anticipation-2020-03,joy-2020-04,joy-2020-05,joy-2020-06,joy-2020-07,joy-2020-08,joy-2020-09,anticipation-2020-10,joy-2020-11,joy-2020-12,joy-2021-01,joy-2021-02,joy-2021-03,joy-2021-04,joy-2021-05,joy-2021-06,joy-2021-07,joy-2021-08,joy-2021-09,joy-2021-10,joy-2021-11,joy-2021-12
25,😲,disgust-2010-01,anger-2010-02,surprise-2010-03,joy-2010-04,surprise-2010-05,anticipation-2010-06,surprise-2010-07,surprise-2010-08,surprise-2010-09,surprise-2010-10,surprise-2010-11,surprise-2010-12,surprise-2011-01,surprise-2011-02,surprise-2011-03,surprise-2011-04,surprise-2011-05,surprise-2011-06,surprise-2011-07,surprise-2011-08,anticipation-2011-09,surprise-2011-10,surprise-2011-11,surprise-2011-12,surprise-2012-01,surprise-2012-02,disgust-2012-03,disgust-2012-04,surprise-2012-05,disgust-2012-06,surprise-2012-07,disgust-2012-08,surprise-2012-09,surprise-2012-10,surprise-2012-11,disgust-2012-12,surprise-2013-01,surprise-2013-02,surprise-2013-03,disgust-2013-04,disgust-2013-05,surprise-2013-06,joy-2013-07,disgust-2013-08,surprise-2013-09,surprise-2013-10,anger-2013-11,surprise-2013-12,joy-2014-01,trust-2014-02,disgust-2014-03,trust-2014-04,trust-2014-05,trust-2014-06,anger-2014-07,trust-2014-08,anticipation-2014-09,anticipation-2014-10,anger-2014-11,anticipation-2014-12,anticipation-2015-01,anticipation-2015-02,anticipation-2015-03,anticipation-2015-04,anticipation-2015-05,joy-2015-06,anticipation-2015-07,anticipation-2015-08,anger-2015-09,anticipation-2015-10,anticipation-2015-11,anticipation-2015-12,anger-2016-01,anticipation-2016-02,anger-2016-03,anticipation-2016-04,surprise-2016-05,surprise-2016-06,surprise-2016-07,surprise-2016-08,surprise-2016-09,surprise-2016-10,anticipation-2016-11,surprise-2016-12,anticipation-2017-01,anticipation-2017-02,surprise-2017-03,surprise-2017-04,anticipation-2017-05,surprise-2017-06,surprise-2017-07,surprise-2017-08,surprise-2017-09,surprise-2017-10,surprise-2017-11,surprise-2017-12,surprise-2018-01,surprise-2018-02,surprise-2018-03,surprise-2018-04,surprise-2018-05,surprise-2018-06,surprise-2018-07,surprise-2018-08,surprise-2018-09,surprise-2018-10,surprise-2018-11,surprise-2018-12,surprise-2019-01,surprise-2019-02,surprise-2019-03,surprise-2019-04,surprise-2019-05,surprise-2019-06,surprise-2019-07,surprise-2019-08,surprise-2019-09,surprise-2019-10,surprise-2019-11,surprise-2019-12,surprise-2020-01,surprise-2020-02,surprise-2020-03,surprise-2020-04,surprise-2020-05,surprise-2020-06,surprise-2020-07,surprise-2020-08,surprise-2020-09,surprise-2020-10,surprise-2020-11,surprise-2020-12,surprise-2021-01,surprise-2021-02,surprise-2021-03,surprise-2021-04,surprise-2021-05,surprise-2021-06,surprise-2021-07,surprise-2021-08,surprise-2021-09,surprise-2021-10,surprise-2021-11,surprise-2021-12
26,😳,trust-2010-01,fear-2010-02,anger-2010-03,joy-2010-04,joy-2010-05,fear-2010-06,fear-2010-07,joy-2010-08,surprise-2010-09,fear-2010-10,joy-2010-11,fear-2010-12,joy-2011-01,sadness-2011-02,sadness-2011-03,sadness-2011-04,fear-2011-05,anger-2011-06,anger-2011-07,anger-2011-08,trust-2011-09,anger-2011-10,surprise-2011-11,anger-2011-12,anger-2012-01,anger-2012-02,anger-2012-03,trust-2012-04,anticipation-2012-05,joy-2012-06,anger-2012-07,anger-2012-08,anger-2012-09,anger-2012-10,anger-2012-11,anticipation-2012-12,anger-2013-01,joy-2013-02,anticipation-2013-03,anger-2013-04,anticipation-2013-05,anger-2013-06,trust-2013-07,trust-2013-08,anticipation-2013-09,anticipation-2013-10,anticipation-2013-11,anticipation-2013-12,anticipation-2014-01,anticipation-2014-02,anticipation-2014-03,anticipation-2014-04,anticipation-2014-05,joy-2014-06,anger-2014-07,anticipation-2014-08,anticipation-2014-09,anger-2014-10,anticipation-2014-11,anticipation-2014-12,anticipation-2015-01,anticipation-2015-02,anticipation-2015-03,anticipation-2015-04,anticipation-2015-05,anticipation-2015-06,anticipation-2015-07,anticipation-2015-08,fear-2015-09,surprise-2015-10,anticipation-2015-11,anticipation-2015-12,anticipation-2016-01,anticipation-2016-02,anticipation-2016-03,anticipation-2016-04,anticipation-2016-05,anticipation-2016-06,anticipation-2016-07,fear-2016-08,fear-2016-09,anticipation-2016-10,surprise-2016-11,surprise-2016-12,anticipation-2017-01,anticipation-2017-02,surprise-2017-03,surprise-2017-04,surprise-2017-05,fear-2017-06,surprise-2017-07,surprise-2017-08,surprise-2017-09,surprise-2017-10,anticipation-2017-11,anticipation-2017-12,surprise-2018-01,fear-2018-02,surprise-2018-03,surprise-2018-04,surprise-2018-05,surprise-2018-06,anticipation-2018-07,surprise-2018-08,surprise-2018-09,surprise-2018-10,surprise-2018-11,surprise-2018-12,surprise-2019-01,surprise-2019-02,anticipation-2019-03,surprise-2019-04,surprise-2019-05,surprise-2019-06,fear-2019-07,surprise-2019-08,surprise-2019-09,surprise-2019-10,surprise-2019-11,surprise-2019-12,surprise-2020-01,surprise-2020-02,anticipation-2020-03,surprise-2020-04,surprise-2020-05,fear-2020-06,surprise-2020-07,anticipation-2020-08,surprise-2020-09,surprise-2020-10,surprise-2020-11,surprise-2020-12,surprise-2021-01,surprise-2021-02,surprise-2021-03,surprise-2021-04,surprise-2021-05,surprise-2021-06,surprise-2021-07,surprise-2021-08,surprise-2021-09,surprise-2021-10,surprise-2021-11,surprise-2021-12
27,😨,disgust-2010-01,surprise-2010-02,joy-2010-03,anger-2010-04,joy-2010-05,sadness-2010-06,sadness-2010-07,trust-2010-08,joy-2010-09,surprise-2010-10,sadness-2010-11,surprise-2010-12,trust-2011-01,disgust-2011-02,anger-2011-03,anticipation-2011-04,trust-2011-05,joy-2011-06,joy-2011-07,surprise-2011-08,anger-2011-09,trust-2011-10,fear-2011-11,sadness-2011-12,disgust-2012-01,disgust-2012-02,surprise-2012-03,surprise-2012-04,fear-2012-05,sadness-2012-06,trust-2012-07,surprise-2012-08,surprise-2012-09,sadness-2012-10,surprise-2012-11,anticipation-2012-12,surprise-2013-01,trust-2013-02,anticipation-2013-03,anger-2013-04,trust-2013-05,surprise-2013-06,surprise-2013-07,fear-2013-08,anticipation-2013-09,fear-2013-10,trust-2013-11,fear-2013-12,anger-2014-01,trust-2014-02,trust-2014-03,trust-2014-04,fear-2014-05,anger-2014-06,anger-2014-07,sadness-2014-08,fear-2014-09,anger-2014-10,fear-2014-11,anticipation-2014-12,anticipation-2015-01,fear-2015-02,sadness-2015-03,anger-2015-04,anger-2015-05,anger-2015-06,fear-2015-07,sadness-2015-08,surprise-2015-09,fear-2015-10,fear-2015-11,anticipation-2015-12,anticipation-2016-01,fear-2016-02,fear-2016-03,anger-2016-04,fear-2016-05,surprise-2016-06,anticipation-2016-07,fear-2016-08,fear-2016-09,fear-2016-10,anticipation-2016-11,fear-2016-12,fear-2017-01,fear-2017-02,fear-2017-03,fear-2017-04,fear-2017-05,fear-2017-06,fear-2017-07,fear-2017-08,fear-2017-09,fear-2017-10,fear-2017-11,fear-2017-12,fear-2018-01,fear-2018-02,fear-2018-03,fear-2018-04,fear-2018-05,surprise-2018-06,fear-2018-07,fear-2018-08,fear-2018-09,fear-2018-10,fear-2018-11,fear-2018-12,fear-2019-01,fear-2019-02,fear-2019-03,fear-2019-04,fear-2019-05,fear-2019-06,fear-2019-07,fear-2019-08,fear-2019-09,fear-2019-10,fear-2019-11,fear-2019-12,fear-2020-01,fear-2020-02,fear-2020-03,fear-2020-04,fear-2020-05,fear-2020-06,fear-2020-07,fear-2020-08,fear-2020-09,fear-2020-10,fear-2020-11,fear-2020-12,fear-2021-01,fear-2021-02,fear-2021-03,fear-2021-04,fear-2021-05,fear-2021-06,fear-2021-07,fear-2021-08,fear-2021-09,fear-2021-10,fear-2021-11,fear-2021-12
28,😰,trust-2010-01,fear-2010-02,surprise-2010-03,sadness-2010-04,surprise-2010-05,surprise-2010-06,anger-2010-07,surprise-2010-08,sadness-2010-09,joy-2010-10,fear-2010-11,surprise-2010-12,anticipation-2011-01,anger-2011-02,trust-2011-03,fear-2011-04,surprise-2011-05,anger-2011-06,anger-2011-07,anger-2011-08,surprise-2011-09,surprise-2011-10,surprise-2011-11,anger-2011-12,trust-2012-01,surprise-2012-02,anger-2012-03,joy-2012-04,surprise-2012-05,surprise-2012-06,surprise-2012-07,surprise-2012-08,trust-2012-09,surprise-2012-10,trust-2012-11,fear-2012-12,surprise-2013-01,anger-2013-02,anger-2013-03,surprise-2013-04,trust-2013-05,fear-2013-06,surprise-2013-07,surprise-2013-08,surprise-2013-09,trust-2013-10,surprise-2013-11,anticipation-2013-12,sadness-2014-01,trust-2014-02,surprise-2014-03,surprise-2014-04,anticipation-2014-05,sadness-2014-06,trust-2014-07,trust-2014-08,sadness-2014-09,trust-2014-10,anger-2014-11,sadness-2014-12,anticipation-2015-01,anger-2015-02,sadness-2015-03,sadness-2015-04,anticipation-2015-05,sadness-2015-06,fear-2015-07,surprise-2015-08,surprise-2015-09,surprise-2015-10,surprise-2015-11,surprise-2015-12,anticipation-2016-01,sadness-2016-02,sadness-2016-03,fear-2016-04,sadness-2016-05,surprise-2016-06,surprise-2016-07,surprise-2016-08,surprise-2016-09,anger-2016-10,fear-2016-11,sadness-2016-12,surprise-2017-01,fear-2017-02,fear-2017-03,fear-2017-04,anger-2017-05,sadness-2017-06,fear-2017-07,fear-2017-08,fear-2017-09,fear-2017-10,fear-2017-11,fear-2017-12,fear-2018-01,fear-2018-02,fear-2018-03,fear-2018-04,fear-2018-05,anger-2018-06,fear-2018-07,fear-2018-08,fear-2018-09,fear-2018-10,fear-2018-11,fear-2018-12,fear-2019-01,fear-2019-02,fear-2019-03,fear-2019-04,fear-2019-05,fear-2019-06,fear-2019-07,fear-2019-08,fear-2019-09,fear-2019-10,fear-2019-11,fear-2019-12,fear-2020-01,fear-2020-02,fear-2020-03,fear-2020-04,fear-2020-05,fear-2020-06,fear-2020-07,fear-2020-08,fear-2020-09,fear-2020-10,fear-2020-11,fear-2020-12,fear-2021-01,fear-2021-02,fear-2021-03,fear-2021-04,fear-2021-05,fear-2021-06,fear-2021-07,fear-2021-08,fear-2021-09,fear-2021-10,fear-2021-11,fear-2021-12
29,😥,sadness-2010-01,trust-2010-02,joy-2010-03,anticipation-2010-04,sadness-2010-05,sadness-2010-06,surprise-2010-07,joy-2010-08,trust-2010-09,fear-2010-10,anticipation-2010-11,fear-2010-12,joy-2011-01,trust-2011-02,anger-2011-03,anger-2011-04,trust-2011-05,joy-2011-06,disgust-2011-07,disgust-2011-08,trust-2011-09,trust-2011-10,surprise-2011-11,surprise-2011-12,trust-2012-01,surprise-2012-02,trust-2012-03,trust-2012-04,sadness-2012-05,trust-2012-06,fear-2012-07,anger-2012-08,surprise-2012-09,trust-2012-10,trust-2012-11,sadness-2012-12,anger-2013-01,disgust-2013-02,trust-2013-03,trust-2013-04,anger-2013-05,sadness-2013-06,trust-2013-07,trust-2013-08,trust-2013-09,trust-2013-10,trust-2013-11,trust-2013-12,sadness-2014-01,trust-2014-02,trust-2014-03,trust-2014-04,trust-2014-05,trust-2014-06,trust-2014-07,anger-2014-08,sadness-2014-09,anticipation-2014-10,anger-2014-11,sadness-2014-12,sadness-2015-01,anticipation-2015-02,sadness-2015-03,anticipation-2015-04,anticipation-2015-05,sadness-2015-06,sadness-2015-07,surprise-2015-08,sadness-2015-09,sadness-2015-10,sadness-2015-11,anticipation-2015-12,sadness-2016-01,sadness-2016-02,anticipation-2016-03,sadness-2016-04,sadness-2016-05,sadness-2016-06,sadness-2016-07,surprise-2016-08,anticipation-2016-09,sadness-2016-10,sadness-2016-11,sadness-2016-12,sadness-2017-01,sadness-2017-02,sadness-2017-03,anticipation-2017-04,sadness-2017-05,sadness-2017-06,sadness-2017-07,sadness-2017-08,sadness-2017-09,sadness-2017-10,sadness-2017-11,sadness-2017-12,sadness-2018-01,sadness-2018-02,sadness-2018-03,sadness-2018-04,sadness-2018-05,surprise-2018-06,sadness-2018-07,sadness-2018-08,sadness-2018-09,sadness-2018-10,sadness-2018-11,sadness-2018-12,sadness-2019-01,sadness-2019-02,sadness-2019-03,sadness-2019-04,sadness-2019-05,sadness-2019-06,sadness-2019-07,sadness-2019-08,sadness-2019-09,sadness-2019-10,sadness-2019-11,sadness-2019-12,sadness-2020-01,sadness-2020-02,sadness-2020-03,sadness-2020-04,sadness-2020-05,sadness-2020-06,sadness-2020-07,sadness-2020-08,sadness-2020-09,sadness-2020-10,sadness-2020-11,sadness-2020-12,sadness-2021-01,sadness-2021-02,sadness-2021-03,sadness-2021-04,sadness-2021-05,sadness-2021-06,sadness-2021-07,sadness-2021-08,sadness-2021-09,sadness-2021-10,sadness-2021-11,sadness-2021-12
